room_type,acreage,price,toward,decoration,elevator,area,street,floor,url
1室1厅,46.21平米,105,东南,精装,,金域蓝湾,金沙洲,-金沙洲,https://gz.lianjia.com/ershoufang/108402258343.html
4室2厅,123.16平米,418,东南,精装,,保利花海湾,茶滘,-茶滘,https://gz.lianjia.com/ershoufang/108407947690.html
2室2厅,74.81平米,123,东北,其他,,龙归城,龙归,-龙归,https://gz.lianjia.com/ershoufang/108408395967.html
2室1厅,75.12平米,125,北,简装,,龙归城,龙归,-龙归,https://gz.lianjia.com/ershoufang/108407551271.html
3室2厅,124.8平米,545,西北,简装,,丰兴广场,天河南,-天河南,https://gz.lianjia.com/ershoufang/108408029640.html
5室2厅,272.34平米,376,南,其他,,奥园莲峰圣境,莲花山,-莲花山,https://gz.lianjia.com/ershoufang/108403665217.html
4室2厅,247.45平米,1488,南,精装,,汇景新城龙熹山,汇景新城,-汇景新城,https://gz.lianjia.com/ershoufang/108407233503.html
3室2厅,120.02平米,66,西南,精装,,太平新村,荔城西区,-荔城西区,https://gz.lianjia.com/ershoufang/108408832861.html
2室1厅,68.8平米,208,南,精装,,水荫四横路,水荫,-水荫,https://gz.lianjia.com/ershoufang/108408730087.html
3室1厅,86.8平米,150,东南,精装,,翠拥华庭二期,东怡新区,-东怡新区,https://gz.lianjia.com/ershoufang/108408433455.html
3室2厅,126.06平米,120,南,精装,,倚莲半岛花园,莲花山,-莲花山,https://gz.lianjia.com/ershoufang/108407844213.html
4室2厅,139.91平米,118,东南,精装,,金时花园,荔城增江,-荔城增江,https://gz.lianjia.com/ershoufang/108408454749.html
3室2厅,110平米,78,东南,精装,,金融街花溪小镇,花东镇,-花东镇,https://gz.lianjia.com/ershoufang/108408539640.html
2室1厅,83.45平米,75,南,精装,,富力金港城东区,花东镇,-花东镇,https://gz.lianjia.com/ershoufang/108408567487.html
2室1厅,79.21平米,79,东南,精装,,珠江嘉园,黄埔永和,-黄埔永和,https://gz.lianjia.com/ershoufang/108408898410.html
3室2厅,80.9平米,150,东南,其他,,金满家园,金沙洲,-金沙洲,https://gz.lianjia.com/ershoufang/108408634993.html
2室1厅,70.93平米,98,南 北,精装,,港湾路,大沙地,-大沙地,https://gz.lianjia.com/ershoufang/108407107352.html
3室2厅,109.4平米,109.8,东,简装,,岐山中路,石碁,-石碁,https://gz.lianjia.com/ershoufang/108405918375.html
3室2厅,92.88平米,99,南,精装,,丰庭花园,金洲,-金洲,https://gz.lianjia.com/ershoufang/108408875937.html
3室2厅,90.18平米,270,西北,精装,,黄埔花园,黄埔区府,-黄埔区府,https://gz.lianjia.com/ershoufang/108407313299.html
3室2厅,83.77平米,256,南,简装,,黄石小区,黄石,-黄石,https://gz.lianjia.com/ershoufang/108408850143.html
3室2厅,88.27平米,120,南,精装,,越秀滨海新城,进港大道,-进港大道,https://gz.lianjia.com/ershoufang/108408927366.html
5室2厅,282.02平米,675,南 北,其他,,石楼碧桂园,石楼,-石楼,https://gz.lianjia.com/ershoufang/108405571910.html
3室2厅,94平米,338,东南 南 西 北,其他,,新陶苑,石牌,-石牌,https://gz.lianjia.com/ershoufang/108408601575.html
2室1厅,41.91平米,80,南 北,精装,,前进路(海珠),前进路,-前进路,https://gz.lianjia.com/ershoufang/108407361315.html
2室1厅,74.43平米,92,北,精装,,智联花园,莲花山,-莲花山,https://gz.lianjia.com/ershoufang/108407405905.html
3室2厅,86.51平米,75,西北,毛坯,,广州绿地城,知识城,-知识城,https://gz.lianjia.com/ershoufang/108409007005.html
3室2厅,142.62平米,130,东南,精装,,优山美墅,南沙港,-南沙港,https://gz.lianjia.com/ershoufang/108408833154.html
4室2厅,134.29平米,215,南,精装,,中交蓝色海湾,南沙港,-南沙港,https://gz.lianjia.com/ershoufang/108407184686.html
4室2厅,135.15平米,135,南,其他,,朗悦君廷,镜湖大道,-镜湖大道,https://gz.lianjia.com/ershoufang/108408419171.html
